,Activity_ID,Activity_Name,Activity_Content,Activity_Type,GameType,Ages_2yo,Ages_3yo,Ages_4yo,Ages_5yo,Ages_6yo,Ages_7yo,Cultures_None,Cultures_Brazil,Cultures_US,Cultures_UK,Cultures_Denmark,Cultures_Spain,Cultures_Mexico,Cultures_Canada,Cultures_Portugal,Cultures_Australia,Cultures_France,Cultures_Italy,Cultures_Germany
20,country-wendy-videoclip-1,"Videoclip: Twinkle, twinkle, little star",my-country,cultural,videoclip,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
21,country-yasmin-videoclip-2,Yasmin is visiting my country,my-country,cultural,videoclip,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
22,who-all-videoclip-1,Videoclip: happy birthday song,birthday,cultural,videoclip,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0
23,farm-yasmin-demovideo-1,Demo vídeo: Moms and curbs,farm-animals,SEL,demo-video,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,farm-poiki-demovideo-1,Demo video: Poiki is collecting the eggs,numbers,standard,demo-video,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,farm-kevin-demovideo-1,Demo video: Vegetables in the right basket,colors,standard,demo-video,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,farm-wendy-demovideo-1,Demo video: Where is the fruit?,fruits,standard,demo-video,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,farm-kevin-demovideo-2,Demo video: Farm animals piano ,farm-animals,standard,demo-video,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,farm-poiki-demovideo-2,Demo video: Harvesting with the tractor,vegetables,standard,demo-video,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,farm-poiki-demovideo-3,Demo video: Harvesting with the wheelcart,fruits,standard,demo-video,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,farm-none-demovideo-1,Demo video: puzzle parts of the farm animals,numbers,standard,demo-video,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,farm-poiki-demovideo-4,Demo video: Poiki plants and harvest,vegetables,standard,demo-video,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,lab-wendy-demovideo-1,Demo video: mixing colors,colors,standard,demo-video,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,who-wendy-demovideo-1,Demo video: collecting toys,colors,standard,demo-video,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,who-yasmin-demovideo-1,Demo video: baking the cake,birthday,cultural,demo-video,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
35,who-kevin-demovideo-1,Demo vídeo: decorating the cake,birthday,cultural,demo-video,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
36,farm-yasmin-flashcards-1,Simple Flashcards - farm animals,farm-animals,standard,flashcards,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37,vehicles-yasmin-flashcards-1,Simple Flashcards - vehicles,vehicles,standard,flashcards,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,body-yasmin-flashcards-1,Simple Flashcards -  body,body,standard,flashcards,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,pets-yasmin-flashcards-1,Simple Flashcards - pets,clothes,standard,flashcards,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,colors-yasmin-flashcards-1,Simple Flashcards - colors,colors,standard,flashcards,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
